symbol,tf,config,split,n,total_R,avg_R,win_pct,t_stat,profit_factor,maxDD_R,n_long,n_short
Step Index,H1,A_tp3,IS,78,1.59,0.0203,59.0,0.14,1.05,8.8,29,49
Step Index,H1,A_tp3,OOS,46,-6.63,-0.144,45.7,-0.74,0.73,7.0,21,25
Step Index,H1,A_be_optimistic,IS,85,0.46,0.0055,55.3,0.04,1.01,8.9,34,51
Step Index,H1,A_be_optimistic,OOS,48,-9.62,-0.2005,45.8,-1.27,0.63,10.7,22,26
Step Index,H1,setA_x0spread,IS,85,0.47,0.0055,55.3,0.04,1.01,8.9,34,51
Step Index,H1,setA_x0spread,OOS,48,-6.62,-0.1378,47.9,-0.84,0.74,8.9,22,26
Step Index,H1,setA_x2spread,IS,85,0.46,0.0055,55.3,0.04,1.01,8.9,34,51
Step Index,H1,setA_x2spread,OOS,48,-7.66,-0.1596,45.8,-0.97,0.71,8.9,22,26
Step Index,M15,setA_60_125_250,IS,97,-21.92,-0.226,47.4,-2.16,0.57,24.0,44,53
Step Index,M15,setA_60_125_250,OOS,31,-0.73,-0.0236,51.6,-0.11,0.95,5.9,13,18
Step Index,M15,setB_50_110_250,IS,125,-16.68,-0.1334,47.2,-1.31,0.75,21.4,60,65
Step Index,M15,setB_50_110_250,OOS,41,-7.62,-0.1859,46.3,-1.08,0.65,9.8,20,21
Step Index,M15,setC_40_120_350,IS,130,-12.8,-0.0984,47.7,-0.96,0.81,21.5,60,70
Step Index,M15,setC_40_120_350,OOS,45,-8.63,-0.1918,48.9,-1.21,0.62,9.9,19,26
Step Index,M15,A_macd_off,IS,240,-10.33,-0.043,50.4,-0.57,0.91,26.5,110,130
Step Index,M15,A_macd_off,OOS,84,3.91,0.0465,56.0,0.36,1.11,9.9,40,44
Step Index,M15,A_be_off,IS,90,-24.0,-0.2667,24.4,-1.95,0.65,30.0,39,51
Step Index,M15,A_be_off,OOS,29,10.0,0.3448,44.8,1.22,1.62,5.0,12,17
Step Index,M15,A_stack_off,IS,112,-20.65,-0.1844,50.0,-1.88,0.63,22.8,52,60
Step Index,M15,A_stack_off,OOS,43,-1.65,-0.0384,48.8,-0.21,0.92,6.9,19,24
Step Index,M15,A_tp3,IS,93,-17.85,-0.1919,47.3,-1.52,0.64,21.2,43,50
Step Index,M15,A_tp3,OOS,30,3.27,0.109,50.0,0.39,1.22,5.9,12,18
Step Index,M15,A_be_optimistic,IS,97,-21.92,-0.226,47.4,-2.16,0.57,24.0,44,53
Step Index,M15,A_be_optimistic,OOS,31,-0.73,-0.0236,51.6,-0.11,0.95,5.9,13,18
Step Index,M15,setA_x0spread,IS,97,-21.91,-0.2259,47.4,-2.16,0.57,24.0,44,53
Step Index,M15,setA_x0spread,OOS,31,-0.73,-0.0236,51.6,-0.11,0.95,5.9,13,18
Step Index,M15,setA_x2spread,IS,97,-21.92,-0.226,47.4,-2.16,0.57,24.0,44,53
Step Index,M15,setA_x2spread,OOS,31,-0.73,-0.0236,51.6,-0.11,0.95,5.9,13,18
US Tech 100,H1,setA_60_125_250,IS,33,-1.0,-0.0303,48.5,-0.14,0.94,5.0,26,7
US Tech 100,H1,setA_60_125_250,OOS,9,-3.0,-0.3333,44.4,-1.0,0.4,3.0,7,2
US Tech 100,H1,setB_50_110_250,IS,38,5.12,0.1347,55.3,0.65,1.3,2.0,31,7
US Tech 100,H1,setB_50_110_250,OOS,13,-5.0,-0.3845,46.2,-1.59,0.29,5.0,11,2
US Tech 100,H1,setC_40_120_350,IS,37,4.0,0.1082,56.8,0.53,1.25,4.0,31,6
US Tech 100,H1,setC_40_120_350,OOS,15,-6.0,-0.3999,46.7,-1.87,0.25,6.0,12,3
US Tech 100,H1,A_macd_off,IS,73,3.01,0.0412,49.3,0.28,1.08,7.0,52,21
US Tech 100,H1,A_macd_off,OOS,25,3.0,0.1201,56.0,0.47,1.27,6.0,14,11
US Tech 100,H1,A_be_off,IS,32,-5.0,-0.1562,28.1,-0.64,0.78,9.0,25,7
US Tech 100,H1,A_be_off,OOS,8,-5.0,-0.625,12.5,-1.67,0.29,4.0,6,2
US Tech 100,H1,A_stack_off,IS,36,-1.0,-0.0277,47.2,-0.13,0.95,6.0,29,7
US Tech 100,H1,A_stack_off,OOS,11,-5.0,-0.4545,36.4,-1.61,0.29,5.0,9,2
US Tech 100,H1,A_tp3,IS,31,2.0,0.0646,48.4,0.24,1.13,7.0,24,7
US Tech 100,H1,A_tp3,OOS,9,-2.0,-0.2222,44.4,-0.51,0.6,3.0,7,2
US Tech 100,H1,A_be_optimistic,IS,33,-1.0,-0.0303,48.5,-0.14,0.94,5.0,26,7
US Tech 100,H1,A_be_optimistic,OOS,9,-3.0,-0.3333,44.4,-1.0,0.4,3.0,7,2
US Tech 100,H1,setA_x0spread,IS,33,-1.0,-0.0303,48.5,-0.14,0.94,5.0,26,7
US Tech 100,H1,setA_x0spread,OOS,9,-3.0,-0.3333,44.4,-1.0,0.4,3.0,7,2
US Tech 100,H1,setA_x2spread,IS,33,-1.0,-0.0303,48.5,-0.14,0.94,5.0,26,7
US Tech 100,H1,setA_x2spread,OOS,9,-3.0,-0.3333,44.4,-1.0,0.4,3.0,7,2
US Tech 100,M15,setA_60_125_250,IS,87,0.87,0.01,51.7,0.08,1.02,18.1,64,23
US Tech 100,M15,setA_60_125_250,OOS,45,4.01,0.089,55.6,0.48,1.2,5.0,27,18
US Tech 100,M15,setB_50_110_250,IS,109,1.87,0.0172,51.4,0.15,1.04,9.1,79,30
US Tech 100,M15,setB_50_110_250,OOS,55,1.34,0.0243,47.3,0.14,1.05,8.0,34,21
US Tech 100,M15,setC_40_120_350,IS,111,3.87,0.0349,52.3,0.3,1.07,13.0,81,30
US Tech 100,M15,setC_40_120_350,OOS,56,5.75,0.1027,57.1,0.62,1.24,5.0,33,23
US Tech 100,M15,A_macd_off,IS,255,15.54,0.0609,52.5,0.8,1.13,31.3,168,87
US Tech 100,M15,A_macd_off,OOS,109,17.68,0.1622,56.9,1.35,1.38,7.0,64,45
US Tech 100,M15,A_be_off,IS,82,-1.0,-0.0122,32.9,-0.08,0.98,15.0,61,21
US Tech 100,M15,A_be_off,OOS,43,8.0,0.186,39.5,0.82,1.31,8.0,26,17
US Tech 100,M15,A_stack_off,IS,100,-8.12,-0.0812,49.0,-0.7,0.84,22.1,72,28
US Tech 100,M15,A_stack_off,OOS,48,5.01,0.1043,60.4,0.61,1.26,5.0,28,20
US Tech 100,M15,A_tp3,IS,81,10.98,0.1355,53.1,0.81,1.29,18.0,59,22
US Tech 100,M15,A_tp3,OOS,44,13.01,0.2956,54.5,1.2,1.65,5.0,27,17
US Tech 100,M15,A_be_optimistic,IS,87,-1.12,-0.0129,54.0,-0.1,0.97,19.1,64,23
US Tech 100,M15,A_be_optimistic,OOS,47,2.01,0.0427,53.2,0.24,1.09,6.0,28,19
US Tech 100,M15,setA_x0spread,IS,87,1.88,0.0217,52.9,0.17,1.05,17.1,64,23
US Tech 100,M15,setA_x0spread,OOS,45,4.01,0.089,55.6,0.48,1.2,5.0,27,18
US Tech 100,M15,setA_x2spread,IS,87,1.02,0.0117,52.9,0.09,1.02,18.0,64,23
US Tech 100,M15,setA_x2spread,OOS,45,4.01,0.089,55.6,0.48,1.2,5.0,27,18
