fast,mid,slow,zone,expiry,be,is_n,is_total_R,is_avg_R,is_t,is_win,oos_n,oos_total_R,oos_avg_R,oos_t,oos_win
20,90,200,150.0,12,True,82,5.000112297284554,0.06097697923517749,0.43140769263225714,50.0,37,6.000075397827327,0.16216419994127912,0.7703387262688879,56.75675675675676
20,90,200,150.0,12,False,81,0.0,0.0,0.0,33.33333333333333,36,18.0,0.5,1.9720265943665387,50.0
20,90,200,150.0,16,True,83,5.000133983934452,0.06024257811969219,0.43143567973520114,50.602409638554214,39,8.000080271869855,0.20513026338127835,1.000010298034004,58.97435897435898
20,90,200,150.0,16,False,82,-1.0,-0.012195121951219513,-0.07784989441615231,32.926829268292686,38,19.0,0.5,2.0275875100994063,50.0
20,90,250,100.0,8,True,166,-7.439200687629289,-0.044814461973670415,-0.4664169953228593,45.78313253012048,60,9.922080681080324,0.16536801135133875,1.02462772655698,58.333333333333336
20,90,250,100.0,8,False,159,-11.159150053855473,-0.070183333672047,-0.638122008560317,30.81761006289308,56,20.921929481282874,0.37360588359433705,1.8692937580741686,46.42857142857143
20,90,250,100.0,12,True,172,-12.439195668222991,-0.0723209050478081,-0.7732353895478691,44.76744186046512,66,14.922087514223746,0.22609223506399614,1.455774430723379,60.60606060606061
20,90,250,100.0,12,False,164,-13.159150053855475,-0.08023871984058216,-0.7431726815095753,30.48780487804878,62,26.921929481282874,0.4342246690529496,2.2801417800266037,48.38709677419355
20,90,200,100.0,8,True,170,-7.452852890919276,-0.043840311123054566,-0.46185267075442415,45.294117647058826,61,10.922094274802026,0.17905072581642664,1.1361827626771175,60.65573770491803
20,90,200,100.0,8,False,163,-9.159150053855475,-0.056191104624880216,-0.5151637047685933,31.28834355828221,56,21.257684328228358,0.37960150586122066,1.8956063008061848,46.42857142857143
20,90,200,100.0,12,True,177,-10.452847871512981,-0.05905563769216374,-0.6372073118296333,44.632768361581924,67,15.922101107945451,0.23764330011858883,1.564206288883663,62.68656716417911
20,90,200,100.0,12,False,169,-9.159150053855473,-0.05419615416482529,-0.5056391636945514,31.360946745562128,62,27.257684328228358,0.4396400698101348,2.3048977006285645,48.38709677419355
20,90,200,100.0,16,True,180,-10.452809857575815,-0.058071165875421195,-0.6372229086852502,45.55555555555556,71,12.777484833596688,0.1799645751210801,1.2289803494176244,59.154929577464785
20,90,200,100.0,16,False,172,-9.159150053855473,-0.05325087240613647,-0.5010712202346037,31.3953488372093,66,26.257684328228358,0.3978437019428539,2.1555770080086276,46.96969696969697
20,90,200,150.0,8,True,71,4.000094429715954,0.05633935816501344,0.3691334272703557,49.29577464788733,34,3.0000753978273274,0.08823751170080374,0.41494892777919906,55.88235294117647
20,90,200,150.0,8,False,70,-1.0,-0.014285714285714285,-0.0842151921066519,32.857142857142854,33,15.0,0.45454545454545453,1.7149858514250884,48.484848484848484
20,90,250,100.0,16,True,175,-12.439157654285827,-0.0710809008816333,-0.7732486024281761,45.714285714285715,71,10.777471239874984,0.151795369575704,1.0238963982308351,56.33802816901409
20,90,250,100.0,16,False,167,-13.159150053855475,-0.07879730571170943,-0.736138259446386,30.538922155688624,67,24.921929481282874,0.3719690967355653,2.0361174221325973,46.26865671641791
20,90,250,150.0,8,True,70,2.0000944297159564,0.028572777567370807,0.18768425573835718,48.57142857142857,35,2.0000753978273265,0.057145011366495045,0.27367047140419165,54.285714285714285
20,90,250,150.0,8,False,69,-3.0,-0.043478260869565216,-0.25644497111628395,31.88405797101449,34,14.0,0.4117647058823529,1.5796741342347698,47.05882352941176
20,90,250,150.0,12,True,80,1.0001122972845549,0.012501403716056935,0.08889637130191488,48.75,38,5.000075397827327,0.13158093152177178,0.6351487669817355,55.26315789473685
20,90,250,150.0,12,False,79,-4.0,-0.05063291139240506,-0.3204934467079102,31.645569620253166,37,17.0,0.4594594594594595,1.8385094394819759,48.64864864864865
20,90,250,150.0,16,True,81,1.000133983934452,0.012347333134993236,0.08890519023627938,49.382716049382715,40,7.000080271869855,0.17500200679674638,0.8655261428418296,57.49999999999999
20,90,250,150.0,16,False,80,-5.0,-0.0625,-0.3994946302467151,31.25,39,18.0,0.46153846153846156,1.8973665961010275,48.717948717948715
20,90,300,100.0,8,True,161,-4.43919799400367,-0.02757265834784888,-0.28326553208483235,47.20496894409938,60,10.922061416240615,0.18203435693734357,1.100471523568498,56.666666666666664
20,90,300,100.0,8,False,155,-10.159150053855473,-0.06554290357326112,-0.58758290751375,30.967741935483872,58,18.921929481282874,0.32624016347039436,1.6666338748553726,44.827586206896555
20,90,300,100.0,12,True,167,-9.439192974597375,-0.05652211362034357,-0.5967989701269817,46.10778443113773,66,15.92206824938404,0.2412434583240006,1.5203882419126746,59.09090909090909
20,90,300,100.0,12,False,160,-12.159150053855475,-0.07599468783659671,-0.6943386815233742,30.625000000000004,64,24.921929481282874,0.3894051481450449,2.081272056320467,46.875
20,90,300,100.0,16,True,170,-9.439154960660208,-0.055524440945060045,-0.596816984089295,47.05882352941176,71,11.777451975035278,0.165879605282187,1.0956617031242972,54.929577464788736
20,90,300,100.0,16,False,163,-12.159150053855475,-0.07459601260034034,-0.6876237552564131,30.67484662576687,69,22.921929481282874,0.3322018765403315,1.8503529403009176,44.927536231884055
20,90,300,150.0,8,True,71,3.0001076349706057,0.04225503711226205,0.28290676413439525,50.70422535211267,35,4.000071740558155,0.1142877640159473,0.5290042640902293,54.285714285714285
20,90,300,150.0,8,False,70,-4.0,-0.05714285714285714,-0.3408249054303634,31.428571428571427,35,13.0,0.37142857142857144,1.4491881171298675,45.714285714285715
20,90,300,150.0,12,True,81,2.0001255025392055,0.024692907438755622,0.17853994443895654,50.617283950617285,38,7.0000717405581545,0.1842124142252146,0.8653783947990569,55.26315789473685
20,90,300,150.0,12,False,80,-5.0,-0.0625,-0.3994946302467151,31.25,38,16.0,0.42105263157894735,1.7098119165930086,47.368421052631575
20,90,300,150.0,16,True,82,2.000147189189104,0.02439203889255005,0.17855505508322528,51.21951219512195,40,9.000076614600683,0.22500191536501707,1.085906080475784,57.49999999999999
